Org,Email,Alternate Email,Helpful links,Notes
AARP Foundation,,,https://help.aarp.org/s/article/stop-sending-aarp-mail,4-6 weeks post unsubscribe
ACCESS College Foundation,info@accesscollege.org,,,
Accion International,donate@accion.org,,,
Accuracy in Media (AIM),info@aim.org,,,
Achilles International,info@achillesinternational.org,,,
Action Against Hunger,info@actionagainsthunger.org,,,
Adopt a Platoon,info@adoptaplatoon.org,,,
Africa-America Institute,,Custom form only,,
African Wildlife Foundation (AWF),privacy@awf.org,,,
Africare,Barbara@africare.org,No other email given,,
AFS USA,privacy@afsusa.org,,,
Agros International,donor.services@agros.org,,,
Air Force Aid Society (AFAS),afas@afas-hq.org,,,
Alight - American Refugee Committee,beths@wearealight.org,,,
All God's Children,info@allgodschildren.org,,,
Alliance for Aging Research,info@agingresearch.org,,,
ALS Association,donations@alsa-national.org,,,
Alzheimer's Association,data-privacy-officer@alz.org,,,
America First Policy Institute,privacy@americafirstpolicy.com,,,
American Action Fund for Blind Children and Adults,actionfund@actionfund.org,,,
American Association of State Troopers (AAST),,https://www.statetroopers.org/contact-us,,
American Association of the Deaf-Blind,AADB-Info@aadb.org,,,
American Brain Tumor Association (ABTA),info@abta.org,,,
American Cancer Society,,https://www.cancer.org/about-us/policies/opt-out-form.html,,
American Civil Liberties Union (ACLU),ACLUpreferences@aclu.org,,,
American Diabetes Association (ADA),askada@diabetes.org,,,
American Enterprise Institute (AEI),webmaster@aei.org,,,
American Farmland Trust,info@farmland.org,,,
American Federation of Police and Concerned Citizens (AFP&CC),policeinfo@aphf.org,,,
American Forests,memberservices@americanforests.org,,,
American Heart Association,,Custom form only,https://www.heart.org/en/about-us/contact-preference-form,
American Humane,info@americanhumane.org,,,
American Indian College Fund,info@collegefund.org,,,
American Jewish World Service (AJWS),ajws@ajws.org,,,
American Kidney Fund,info@kidneyfund.org,,,
American Leprosy Missions,amlep@leprosy.org,,,
American Liver Foundation,info@liverfoundation.org,,,
American Lung Association,,Timed out loading webpage,,
American Near East Refugee Aid (ANERA),anera@anera.org,,,
American Parkinson Disease Association (APDA),apda@apdaparkinson.org,,,
American Rivers,membership@americanrivers.org,,,
American Society for the Prevention of Cruelty to Animals (ASPCA),solicitations@aspca.org,,,
American Stroke Association,,Custom form only,https://www.heart.org/en/about-us/contact-preference-form,
Americans United,membership@au.org,,,
AmeriCares,info@americares.org,,,
amfAR,webmaster@amfar.org,,,
Amnesty International,aimember@aiusa.org,,,
AMVETS National Service Foundation,amvets@amvets.org,,,
Animal Legal Defense Fund (ALDF),privacy@aldf.org,,,
Animal Welfare Institute (AWI),awi@awionline.org,,,
Anti-Defamation League (ADL),privacy@adl.org,,,
Appalachian Trail Conservancy,info@appalachiantrail.org,,,
Armed Services YMCA,,https://www.asymca.org/locations,,
Army Emergency Relief,,https://www.armyemergencyrelief.org/contact/,,
Arthritis Foundation,arthritisfoundation@arthritis.org,,,
Arthritis Research Institute of America,,Web access forbidden,,
Asia Society,privacy@asiasociety.org,,,
Association on American Indian Affairs,general@indian-affairs.org,,,
Autism Speaks,datasupport@autismspeaks.org,,,
Avon Foundation,,Timed out loading??,,
Bailey House,bhevents@baileyhouse.org,,,
